Model,MAE,RMSE,R²,MAPE (%)
linear_regression,0.09035559413596861,0.13233541479858935,-12.129588018978218,34.746536071744586
ridge,0.035117897365813555,0.044846530390942656,-0.5078447592374637,15.67316539567245
random_forest,0.041139725456953324,0.05640274529234833,-1.385060603935797,18.33991842942617
mlp,3.6166973264547897,3.63429407616847,-9901.368079799322,1469.878985839667
